iso_code,country,reason,hover
JPN,Japan,No matching deaths-per-million record in dataset,<b>Japan</b><br>ISO3: JPN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
JEY,Jersey,No matching deaths-per-million record in dataset,<b>Jersey</b><br>ISO3: JEY<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
JOR,Jordan,No matching deaths-per-million record in dataset,<b>Jordan</b><br>ISO3: JOR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KIR,Kiribati,No matching deaths-per-million record in dataset,<b>Kiribati</b><br>ISO3: KIR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KOS,Kosovo,No matching deaths-per-million record in dataset,<b>Kosovo</b><br>ISO3: KOS<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
KWT,Kuwait,No matching deaths-per-million record in dataset,<b>Kuwait</b><br>ISO3: KWT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
LBN,Lebanon,No matching deaths-per-million record in dataset,<b>Lebanon</b><br>ISO3: LBN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
LSO,Lesotho,No matching deaths-per-million record in dataset,<b>Lesotho</b><br>ISO3: LSO<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
LBY,Libya,No matching deaths-per-million record in dataset,<b>Libya</b><br>ISO3: LBY<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
LIE,Liechtenstein,No matching deaths-per-million record in dataset,<b>Liechtenstein</b><br>ISO3: LIE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MAC,Macao,No matching deaths-per-million record in dataset,<b>Macao</b><br>ISO3: MAC<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MDG,Madagascar,No matching deaths-per-million record in dataset,<b>Madagascar</b><br>ISO3: MDG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MDV,Maldives,No matching deaths-per-million record in dataset,<b>Maldives</b><br>ISO3: MDV<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MLI,Mali,No matching deaths-per-million record in dataset,<b>Mali</b><br>ISO3: MLI<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MHL,Marshall Is.,No matching deaths-per-million record in dataset,<b>Marshall Is.</b><br>ISO3: MHL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MRT,Mauritania,No matching deaths-per-million record in dataset,<b>Mauritania</b><br>ISO3: MRT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
FSM,Micronesia,No matching deaths-per-million record in dataset,<b>Micronesia</b><br>ISO3: FSM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MCO,Monaco,No matching deaths-per-million record in dataset,<b>Monaco</b><br>ISO3: MCO<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MNE,Montenegro,No matching deaths-per-million record in dataset,<b>Montenegro</b><br>ISO3: MNE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MSR,Montserrat,No matching deaths-per-million record in dataset,<b>Montserrat</b><br>ISO3: MSR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
CYN,N. Cyprus,No matching deaths-per-million record in dataset,<b>N. Cyprus</b><br>ISO3: CYN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MNP,N. Mariana Is.,No matching deaths-per-million record in dataset,<b>N. Mariana Is.</b><br>ISO3: MNP<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NAM,Namibia,No matching deaths-per-million record in dataset,<b>Namibia</b><br>ISO3: NAM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NRU,Nauru,No matching deaths-per-million record in dataset,<b>Nauru</b><br>ISO3: NRU<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NLD,Netherlands,No matching deaths-per-million record in dataset,<b>Netherlands</b><br>ISO3: NLD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NCL,New Caledonia,No matching deaths-per-million record in dataset,<b>New Caledonia</b><br>ISO3: NCL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NZL,New Zealand,No matching deaths-per-million record in dataset,<b>New Zealand</b><br>ISO3: NZL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NIC,Nicaragua,No matching deaths-per-million record in dataset,<b>Nicaragua</b><br>ISO3: NIC<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NGA,Nigeria,No matching deaths-per-million record in dataset,<b>Nigeria</b><br>ISO3: NGA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NIU,Niue,No matching deaths-per-million record in dataset,<b>Niue</b><br>ISO3: NIU<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
NFK,Norfolk Island,No matching deaths-per-million record in dataset,<b>Norfolk Island</b><br>ISO3: NFK<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PRK,North Korea,No matching deaths-per-million record in dataset,<b>North Korea</b><br>ISO3: PRK<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
MKD,North Macedonia,No matching deaths-per-million record in dataset,<b>North Macedonia</b><br>ISO3: MKD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
OMN,Oman,No matching deaths-per-million record in dataset,<b>Oman</b><br>ISO3: OMN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PLW,Palau,No matching deaths-per-million record in dataset,<b>Palau</b><br>ISO3: PLW<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PSE,Palestine,No matching deaths-per-million record in dataset,<b>Palestine</b><br>ISO3: PSE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PNG,Papua New Guinea,No matching deaths-per-million record in dataset,<b>Papua New Guinea</b><br>ISO3: PNG<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PER,Peru,No matching deaths-per-million record in dataset,<b>Peru</b><br>ISO3: PER<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PHL,Philippines,No matching deaths-per-million record in dataset,<b>Philippines</b><br>ISO3: PHL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PCN,Pitcairn Is.,No matching deaths-per-million record in dataset,<b>Pitcairn Is.</b><br>ISO3: PCN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
POL,Poland,No matching deaths-per-million record in dataset,<b>Poland</b><br>ISO3: POL<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
PRI,Puerto Rico,No matching deaths-per-million record in dataset,<b>Puerto Rico</b><br>ISO3: PRI<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
QAT,Qatar,No matching deaths-per-million record in dataset,<b>Qatar</b><br>ISO3: QAT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
RWA,Rwanda,No matching deaths-per-million record in dataset,<b>Rwanda</b><br>ISO3: RWA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SGS,S. Geo. and the Is.,No matching deaths-per-million record in dataset,<b>S. Geo. and the Is.</b><br>ISO3: SGS<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SSD,S. Sudan,No matching deaths-per-million record in dataset,<b>S. Sudan</b><br>ISO3: SSD<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
